"label","labelOO","labelCi"
"Dal passato al presente - Enti locali: strategie di salvaguardia delle acque e conversione italiana al Plastic free","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"CondividiAMO la BELLEZZA","Sede di Ministero della cultura","Roma"
"Corso ""Storie d'Arte al Museo Nazionale di Ravenna"" a.s. 2019-2020","Sede di Museo nazionale di Ravenna","Ravenna"
"Continua la rubrica delle Gallerie dell'Accademia di Venezia  L'Opera del giorno","Sede di Gallerie dell'Accademia di Venezia","Venezia"
"Conferenza di Paolo Puppa - “Lingua e lingue nel teatro italiano a fine millennio”","Sede di Biblioteca nazionale Marciana - Sale monumentali","Venezia"
"Conferenza : L'arte mobiliare paleolitica: metodologia integrata per l'analisi digitale dei reperti","Sede di Museo archeologico nazionale di Taranto - MArTA","Taranto"
"D'Annunzio e la massoneria a Fiume","Sede di Biblioteca Statale Stelio Crise di Trieste","Trieste"
"Da Piacenza a Sestri Levante: la grande Istoria dipinta della Galleria Rizzi tra arte e letteratura","Sede di Fondazione Galleria Rizzi","Sestri Levante"
"Conferenza Mostra Orazio Gentileschi ","Sede di Pinacoteca civica ""Francesco Podesti""","Ancona"
"Concerto di trallalero","Sede di Gallerie Nazionali di Palazzo Spinola","Genova"
"Dallo scavo al museo: il mosaico ellenistico di Buccino #iorestoacasa #laculturanonsiferma","Sede di Museo archeologico nazionale  di Volcei ""Marcello Gigante"" di Buccino","Buccino"
"Corrispondenze: Mostra di Arte Figurativa Contemporanea","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"Corrado d’Elia - Racconti in tempo di peste - ","Sede di Ministero della cultura","Roma"
"Continua #artyouready con #paesaggioitaliano alla Certosa e Museo di San Martino","Sede di Certosa e Museo di San Martino","Napoli"
"Continua #artyouready con #viaggioinitalia alla Certosa e Museo di San Martino","Sede di Certosa e Museo di San Martino","Napoli"
"Connessioni Inventive","Sede di Museo MAN - Museo d'arte Provincia di Nuoro","Nuoro"
"Conversazione “Giuseppe Ungaretti. Le radici greche a 50 dalla scomparsa”","Sede di Museo archeologico nazionale di Taranto - MArTA","Taranto"
"Cranio di stambecco #UnMuseoBestiale","Sede di Museo delle Civiltà","Roma"
"Continua #artyouready con #viaggioinitalia al Palazzo Reale di Napoli","Sede di Palazzo Reale di Napoli","Napoli"
"Continua #artyouready con #paesaggioitaliano al Palazzo Reale di Napoli","Sede di Palazzo Reale di Napoli","Napoli"
"Cos'è un museo? #iorestoacasa @Museo Archeologico Nazionale di Formia","Sede di Museo archeologico nazionale di Formia","Formia"
"Curatorbattle al Museo archeologico di Pontecagnano..scopriamo insieme il reperto più impressionante!","Sede di Museo archeologico nazionale di Pontecagnano e Parco archeologico di Pontecagnano","Pontecagnano Faiano"
"Cura cultura e bellezza. Prevenzione: il ruolo delle terapie integrate ","Sede di Parco archeologico del Colosseo - Foro Romano e Palatino","Roma"
"Da sentire, da vedere, da gustare, per una gastronomia d’autore.","Sede di Archivio di Stato di Piacenza","Piacenza"
"Dalla nostra Mostra ""Una storia militante. Prima, durante e dopo il '68 pavese"". Il Caso Braibanti","Sede di Biblioteca Universitaria di Pavia","Pavia"
"Cosa vorresti vedere dalla tua finestra?","Sede di Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","Bitonto"
"Dal regno Assiro al 1481, il Chronicon di Eusebius Caesariensis","Sede di Biblioteca Universitaria di Pavia","Pavia"
"Cristo e Re David nell'Aldini 471","Sede di Biblioteca Universitaria di Pavia","Pavia"
"Dal 6 novembre a Gorizia la mostra itinerante “MUTANT LANDSCAPES” DI LC-DDS","Sede di Archivio di Stato di Gorizia","Gorizia"
"Contemporanea: le Terme di Caracalla incontrano l’arte del presente","Sede di Ministero della cultura","Roma"
"Continua il ""viaggio in Italia"" per un'estate italiana #viaggioinitalia #estateitaliana","Sede di Ministero della cultura","Roma"
"Continua il countdown verso la riapertura - 2!","Sede di Museo archeologico nazionale delle Marche","Ancona"
"Conoscere Gubbio ","Sede di Palazzo ducale di Gubbio","Gubbio"
"Dalla luce alla terra | I vetri da San Vitale. Riscoperta e nuove indagini","Sede di Museo nazionale di Ravenna","Ravenna"
"Dallo scavo al museo - Laboratorio “aperto per lavori”","Sede di Ministero della cultura","Roma"
"Concerto per arpa","Sede di Villa della Regina","Torino"
"Dai depositi alle vetrine!","Sede di Museo archeologico dell'antica Capua e Mitreo","Santa Maria Capua Vetere"
"Cosimo I a Siena. Storia, arte e architettura_Copia","Sede di Ministero della cultura","Roma"
"Da Rosso Immaginario a Rosso Reale. Tra vini e miti","Sede di Museo archeologico nazionale del Sannio Caudino","Montesarchio"
"Dame e cavalieri, abiti e ornamenti nell’Autunno del Medioevo","Sede di Galleria nazionale dell'Umbria","Perugia"
"Concerto per un amico","Sede di Museo civico Goffredo Bellini","Asola"
"Conoscere la biodiversità per tutelarla","Sede di Museo civico di scienze naturali Enrico Caffi","Bergamo"
"Da Faro a Faro: le lanterne sulla via di casa (Passeggiata Patrimoniale)","Sede di Direzione Regionale Musei Emilia Romagna","Cervia"
"Dall’orto alla soffitta: storia di una rapa","Sede di Direzione regionale Musei Lombardia","Livigno"
"Dall’orto alla soffitta: storia di una rapa_Copia","Sede di Direzione regionale Musei Lombardia","Livigno"
"Concetto Spaziale, 1951. Lucio Fontana","Sede di Gallerie d'Italia","Milano"
"Dal Tramonto all’Appia: Around Jazz. “Atomic bass” feat. Javier Girotto","Sede di Parco archeologico dell'Appia antica  - Mausoleo di Cecilia Metella e Chiesa di San Nicola","Roma"
"Dal Tramonto all’Appia: Around Jazz. “Atomic bass” feat. Javier Girotto_Copia","Sede di Parco archeologico dell'Appia antica - Villa dei Quintili e Santa Maria Nova","Roma"
"Dal Tramonto all’Appia: Around Jazz. “Atomic bass” feat. Javier Girotto_Copia","Sede di Parco archeologico dell'Appia antica  - Mausoleo di Cecilia Metella e Chiesa di San Nicola","Roma"
"Dal Tramonto all’Appia: Around Jazz. BLUE NOTE QUARTET FEAT. Daniele Scannapieco-Domenico Sanna-Gegè Munari-Franesco Lento-Vincenzo Florio","Sede di Parco archeologico dell'Appia antica - Villa dei Quintili e Santa Maria Nova","Roma"
"Dal Tramonto all’Appia. Around Jazz. Music for Marco Massa jam session con tutti i musicisti della rassegna e ospiti","Sede di Parco archeologico dell'Appia antica - Villa dei Quintili e Santa Maria Nova","Roma"
"Dal Tramonto all’Appia. Around Jazz. Music for Marco Massa jam session con tutti i musicisti della rassegna e ospiti_Copia","Sede di Parco archeologico dell'Appia antica - Villa dei Quintili e Santa Maria Nova","Roma"
"Dal Tramonto all'Appia: Around Jazz. Roberto Gatto PERFECT TRIO","Sede di Parco archeologico dell'Appia antica  - Mausoleo di Cecilia Metella e Chiesa di San Nicola","Roma"
"Dal Tramonto all'Appia: Around Jazz. “Norma Ensemble” feat. Fabrizio Bosso","Sede di Parco archeologico dell'Appia antica - Villa dei Quintili e Santa Maria Nova","Roma"
"Court-circuit","Sede di Complesso Monumentale della Pilotta","Parma"
"Controriforma e polifonia","Sede di Gallerie Estensi - Pinacoteca nazionale di Ferrara","Ferrara"
"Convegno Internazionale di Studi Piceni","Sede di Museo archeologico nazionale delle Marche","Ancona"
"Dal documento al terreno. Storia e Archeologia dei sistemi agro-silvo-pastorali e ricostruzione del paesaggio antico: Le ultime tombe preistoriche delle Puglia e la Necropoli di Contrada San Magno","Sede di Direzione Regionale Musei Puglia","Corato"
"CONTRO/DONNE/CONTRO","Sede di Villa Adriana e Villa d'Este - Santuario di Ercole Vincitore","Tivoli"
"Concerto nel chiostro","Sede di Ex Convento di San Francesco della Scarpa","Bari"
"Dalla Fontana “Sirenzola” sita in C.da Acqua del Campo al sito archeologico di Coste Chiavarine, Pontelandolfo (BN)","Sede di Direzione Regionale Musei Campania","Pontelandolfo"
"Dalla “Sala Papa Giovanni Paolo II” alla Torre del Centro storico di Pontelandolfo","Sede di Direzione Regionale Musei Campania","Pontelandolfo"
"Convegno di studi Dante poeta della patria. Temi e suggestioni intorno al centenario del 1865 tra Firenze, Ravenna e Venezia","Sede di Biblioteca nazionale Marciana - Sale monumentali","Venezia"
"Conferenza: GLI SCAVI DI MONTE CROCE GUARDIA - MASArc","Sede di Museo archeologico statale di Arcevia","Arcevia"
"Dal mare alle carte","Sede di Archivio di Stato di Fermo","Fermo"
"Conversando #outsideRendella: La Biblioteca e la Città","Sede di Direzione Regionale Musei Puglia","Monopoli"
"Convegno-conferenza","Sede di Archivio di Stato di Reggio Calabria. Sezione di Locri","Locri"
"Concerto dei Virtuosi di Sansevero","Sede di Direzione Regionale Musei Campania","Napoli"
"Cultura & Cura – La Gastaldia di Cona a Frapiero, casa comune per la crescita economica","Sede di Direzione Regionale Musei Veneto","Agna"
"Cultura & Consumo: La Corte Papafava di Arre e l’economia circolare","Sede di Direzione Regionale Musei Veneto","Arre"
"DA 35 MILIONI ANNI FA ALL'ARTE CONTEMPORANEA. Un lungo viaggio nel tempo","Sede di Palazzo Perrando","Sassello"
"DA 35 MILIONI ANNI FA ALL'ARTE CONTEMPORANEA. Un lungo viaggio nel tempo_Copia","Sede di Palazzo Perrando","Sassello"
"Corciano - Centro Storico","Sede di Antiquarium di Corciano","Corciano"
"Convegno ""Archeozoologia ad Aquileia: resti da scavo e raffigurazioni di animali nei mosaici della città romana""","Sede di Museo archeologico nazionale di Aquileia","Aquileia"
"Da Rosso Immaginario a Rosso Reale. Tra vini e miti_Il simposio","Sede di Museo archeologico nazionale del Sannio Caudino","Montesarchio"
"Dalle fortificazioni sannitiche del Monte Cila all’acquedotto romano","Sede di Museo archeologico dell'antica Allifae","Alife"
"Dalle fortificazioni sannitiche del Monte Cila all’acquedotto romano_Copia","Sede di Museo archeologico dell'antica Allifae","Alife"
"Corso AIB Liguria: Il libro antico in SBN","Sede di Biblioteca Universitaria di Genova","Genova"
"Convergenze Flegree","Sede di Parco archeologico dei Campi Flegrei - Museo archeologico dei Campi Flegrei nel Castello di Baia","Bacoli"
"Concorso Lirico Internazionale Premio Giuseppe Taddei","Sede di Biblioteca Universitaria di Genova","Genova"
"Da un'idea di Vittorio Sgarbi  CARAVAGGIO. IL CONTEMPORANEO","Sede di MART - Museo di arte moderna e contemporanea di Trento Rovereto","Rovereto"
"Concerto ""Sassari città delle arti figurative e della musica - Gran Galà della Lirica""","Sede di Pinacoteca nazionale di Sassari","Sassari"
"Convegno internazionale ""Lucretia Estensis de Borgia. Il potere al femminile""","Sede di Teatro del Collegio di San Carlo","Modena"
"Dall'alto del Monte. L'Abbazia di S. Maria tra devozione aulica e devozione popolare","Sede di Ministero della cultura","Cesena"
"Dal contenitore museale al museo en plein air. Le installazioni di arte contemporanea di Antonio Pujia Veneziano e Roberto Lucifero","Sede di Direzione regionale Musei Calabria","Bova"
"DA FALERII A VEIO: ANTICHE COMUNITÀ LUNGO LA VALLE DEL TEVERE","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"Dai depositi delle Grotte","Sede di Grotte di Catullo e Museo Archeologico di Sirmione","Sirmione"
"Dal Sillaro al Tavollo, DEA e Immateriale. Uno speciale della rivista ""Graphie"" sul Patrimonio DemoEtnoAntropologico e Immateriale in Romagna","Sede di Ministero della cultura","Forlì"
"Condividere l'arte ambientale di Franco Summa","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di Chieti e Pescara","Pescara"
"Corso per docenti e educatori - Alle radici dello yoga: genesi, sviluppo e scienza di un fenomeno globale","Sede di Museo delle Civiltà","Roma"
"Corso gratuito per addetti alla manutenzione dei giardini storici per giovani rifugiati e Neet presso la Villa medicea della Petraia (FI).","Sede di Villa medicea della Petraia","Firenze"
"Corso per docenti e educatori - Alle radici dello yoga: genesi, sviluppo e scienza di un fenomeno globale_Copia","Sede di Museo delle Civiltà","Roma"
"Conferenza","Sede di Museo archeologico nazionale di Taranto","Taranto"
"Concorso MAB: Storie da musei, archivi e biblioteche","Sede di Museo archeologico nazionale delle Marche","Ancona"
"Conferenza - Il Cholera Morbus del 1854  a Sesto Calende","Sede di Archivio di Stato di Varese","Varese"
"Conversazioni ad Altemps intorno a Medardo Rosso. Scolpire la luce","Sede di Museo nazionale romano - Palazzo Altemps","Roma"
"CURE E RIMEDI NELLA MESSINA ANTICA","Sede di Archivio di Stato di Messina","Messina"
"Dalla Russia PER Amore","Sede di Parco archeologico di Ostia antica - Area archeologica di Ostia antica","Roma"
"Dal digitale al reale. Percorso di archeologia virtuale","Sede di Museo archeologico nazionale delle Marche","Ancona"
"Dall’8 all’infinito","Sede di Castel del Monte","Andria"
"Convegno “Dallo scavo archivistico alla memoria storica”","Sede di Archivio di Stato di Reggio Calabria. Sezione di Palmi","Palmi"
"COVID-19: Dall'emergenza alla ripartenza graduale best practice ed esempi per archivi, biblioteche e per il patrimonio culturale","Sede di Segretario Generale","Firenze"
"Concerto online su BreraPlus+ in diretta dalla Sala Maria Teresa della Biblioteca Nazionale Braidense","Sede di Pinacoteca di Brera - Biblioteca Nazionale Braidense di Milano","Milano"
"Corso di Formazione LA LIGURIA SI RACCONTA - Dalla Preistoria al Liberty","Sede di Direzione Regionale Musei Liguria","Genova"
"Culti, commemorazioni e rituali nell’antica Roma. I reperti di Scolacium si raccontano.","Sede di Museo e Parco archeologico nazionale di Scolacium","Borgia"
"DALLA SERIE TV ROMULUS ALL'ETRU","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"Conferenze del ciclo ""Progetto Rialto. Le lezioni della storia"". lunedì 30 novembre 2020 Luca Molà ""Le arti del lusso a Venezia. Produzione, imitazione, innovazione""","Sede di Gallerie dell’Accademia di Venezia","Venezia"
"Conferenze del ciclo ""Progetto Rialto. Le lezioni della storia"". lunedì 30 novembre 2020 Luca Molà ""Le arti del lusso a Venezia. Produzione, imitazione, innovazione""_Copia","Sede di Gallerie dell’Accademia di Venezia","Venezia"
"Conferenze del ciclo ""Progetto Rialto. Le lezioni della storia"". lunedì 30 novembre 2020 Luca Molà ""Le arti del lusso a Venezia. Produzione, imitazione, innovazione""_Copia_Copia","Sede di Gallerie dell’Accademia di Venezia","Venezia"
"Conferenze del ciclo ""Progetto Rialto. Le lezioni della storia"". lunedì 30 novembre 2020 Luca Molà ""Le arti del lusso a Venezia. Produzione, imitazione, innovazione""_Copia_Copia_Copia","Sede di Gallerie dell’Accademia di Venezia","Venezia"
"Conferenze del ciclo ""Progetto Rialto. Le lezioni della storia"". lunedì 30 novembre 2020 Luca Molà ""Le arti del lusso a Venezia. Produzione, imitazione, innovazione""_Copia_Copia_Copia_Copia","Sede di Gallerie dell’Accademia di Venezia","Venezia"
"DALLA SERIE TV ROMULUS ALL'ETRU_Copia","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"DALLA SERIE TV ROMULUS ALL'ETRU_Copia_Copia","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"Conversando con l‘Archivio di Stato di Siena","Sede di Archivio di Stato di Siena","Siena"
"DALLA SERIE TV ROMULUS ALL'ETRU_Copia_Copia_Copia","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"Dalla vetrina della Galleria Nazionale: ""Omaggio a Raffaello: una Madonna di Pietro De Simone”","Sede di Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","Bitonto"
"Concerto ""Va', pensiero"" degli Artisti del Coro di Parma","Sede di Complesso monumentale della Pilotta - Teatro Farnese","Parma"
"Dante attraverso Fabrizio De Andrè","Sede di Biblioteca Nazionale di Cosenza","Cosenza"
"Il libro della settimana - Archivio storico Iucu, Ponte Coperto Pavia 70","Sede di Biblioteca Universitaria di Pavia","Pavia"
"Intervallo ETRU_Copia_Copia_Copia_Copia_Copia_Copia","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"Identikit di un capolavoro: L'Apollo di Veio_Copia_Copia","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"Interviste all'ETRU_Copia","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"Intervallo ETRU_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"Il libro della settimana - Massimo Castoldi, Piazzale Loreto. Milano, l’eccidio e il «contrappasso»","Sede di Biblioteca Universitaria di Pavia","Pavia"
"I vasi dorati ","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"Il Museo Nazionale Romano riapre al pubblico la Crypta Balbi il 1 febbraio","Sede di Museo nazionale romano - Crypta Balbi","Roma"
"Intervallo ETRU 2 febbraio","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"Il libro della settimana - La Ronzani Editore","Sede di Biblioteca Universitaria di Pavia","Pavia"
"Il MAN di Cividale del Friuli riapre al pubblico","Sede di Museo archeologico nazionale di Cividale del Friuli","Cividale del Friuli"
"IL CARNEVALE 2021 AL DUCALE","Sede di Palazzo Ducale di Mantova","Mantova"
"Il Museo del Cenacolo riapre al pubblico","Sede di Museo del Cenacolo Vinciano","Milano"
"In trasparenza  Ciclo di conversazioni  on line","Sede di Villa Adriana e Villa d'Este - Villa d'Este","Tivoli"
"Intervallo ETRU_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"immagina - arti e mestieri nel paesaggio Veneto","Sede di Ministero della cultura","Nove"
"Iniziato il restauro del Trittico di Borgo di Taddeo di Bartolo.","Sede di Museo nazionale di San Matteo","Pisa"
"Il 15 febbraio 2021 riapre la Villa Arianna a Castellammare di Stabia","Sede di Parco archeologico di Pompei - Scavi archeologici di Stabiae (Villa Arianna)","Castellammare di Stabia"
"Il Castello di Torrechiara e la sua storia d'amore","Sede di Castello di Torrechiara","Langhirano"
"Intervallo ETRU_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"Il libro della settimana - Per una storia dell’assistenza infermieristica a Pavia","Sede di Biblioteca Universitaria di Pavia","Pavia"
"Il patrimonio dilapidato: il traffico illegale di reperti archeologici","Sede di Direzione Regionale Musei Emilia Romagna","Bologna"
"ITALIA IN-ATTESA. 12 racconti fotografici","Sede di Gallerie Nazionali di Arte Antica - Palazzo Barberini","Roma"
"Il nuovo Catalogo generale dei beni culturali","Sede di Istituto Centrale per il Catalogo e la Documentazione","Roma"
"Il fazzoletto di Desdemona di Emanuela Mastria","Sede di Biblioteca Vallicelliana","Roma"
"Il libro della settimana - Gianluca Pistore, Il virus che non esisteva","Sede di Biblioteca Universitaria di Pavia","Pavia"
"Il libro della settimana - Maria Antonietta Grignani, Paolo Mazzarello, Ombre nella mente","Sede di Biblioteca Universitaria di Pavia","Pavia"
"IN & OUT","Sede di Museo archeologico nazionale di Pontecagnano e Parco archeologico di Pontecagnano","Pontecagnano Faiano"
"Il paesaggio e arte contemporanea: le istallazioni artistiche en plein air","Sede di Direzione Regionale Musei Puglia","Lecce"
"Il paesaggio pugliese pugliese nelle collezioni della Pinacoteca Metropolitana di Bari: la consapevolezza di un'identità","Sede di Museo e Pinacoteca d'Arte Medievale e Moderna della Città Metropolitana di Bari ""Corrado Giaquinto""","Bari"
"II Giornata regionale dei Musei di Calabria al Museo dell'antica Kaulon","Sede di Museo e Parco archeologico dell'Antica Kaulon","Monasterace"
"Il libro della settimana - Fabrizio Guerrini, Roberto Lodigiani  Vincitori e Vinti","Sede di Biblioteca Universitaria di Pavia","Pavia"
"Il paesaggio si racconta… e si condivide","Sede di Pinacoteca nazionale di Sassari","Sassari"
"Il paesaggio marino ai tempi di Garibaldi. Storie di navigazione","Sede di Compendio garibaldino di Caprera","Sassari"
"Incontro on line","Sede di Soprintendenza Archivistica e Bibliografica della Toscana","Firenze"
"Il paesaggio agricolo savonese nei documenti d'archivio","Sede di Archivio di Stato di Savona","Savona"
"Il progetto Books within books: Hebrew Fragmens in European Libraries e il ruolo dell’archivista nella ricerca di frammenti ebraici","Sede di Archivio di Stato di Milano","Milano"
"Inventario Pzzati - Per un omaggio della città di Bologna all’artista Concetto Pozzati","Sede di Ministero della cultura","Bologna"
"Il territorio del Novarese nella cartografia storica","Sede di Archivio di Stato di Novara","Novara"
"Immagini, parole e musica per il Tagliamento","Sede di Archivio di Stato di Pordenone","Pordenone"
"In viaggio con Dante","Sede di Archivio di Stato di Trapani","Marsala"
"Il paesaggio urbano di Alessandria a metà Ottocento","Sede di Archivio di Stato di Alessandria","Alessandria"
"Il paesaggio culturale arceviese quale luogo di identità di una comunità","Sede di Museo archeologico statale di Arcevia","Arcevia"
"Intervallo ETRU_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"Intervallo ETRU_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"Intervallo ETRU_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"Identikit di un capolavoro: L'Apollo di Veio_Copia_Copia_Copia","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"Identikit di un capolavoro: L'Apollo di Veio_Copia_Copia_Copia_Copia","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"Il progetto di digitalizzazione della ""Carta del Ducato Estense"" di Marco Antonio Pasi (1571)","Sede di Archivio di Stato di Modena","Modena"
"Inferno e pandemia","Sede di Direzione Regionale Musei Puglia","Trani"
"Il paesaggio urbano di Kaulonia tra V e III sec. a.C.","Sede di Museo e Parco archeologico dell'Antica Kaulon","Monasterace"
"Il Parco Green","Sede di Parco Archeologico del Colosseo","Roma"
"Il paesaggio di Capri nei dipinti di K.W. Diefenbach","Sede di Certosa di San Giacomo","Capri"
"Il Paesaggio del ManES - Una passeggiata digitale tra Eboli e il Sele","Sede di Museo archeologico di Eboli e della Media Valle del Sele e Aree archeologiche delle fornaci SS. Cosma e Damiano e della Villa Romana di Paterno","Eboli"
"Il Dantedì dell'Archivio di Stato di Salerno","Sede di Archivio di Stato di Salerno","Salerno"
"Il libro della settimana - Fabrizio Guerrini e Roberto Lodigiani,  Vincitori e Vinti.","Sede di Biblioteca Universitaria di Pavia","Pavia"
"Intervallo ETRU_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"Il mito di Niobe dalla tomba Varrese di Canosa di Puglia all'oltretomba dantesco","Sede di Museo archeologico nazionale di Canosa di Puglia - Palazzo Sinesi","Canosa di Puglia"
"Il Risveglio di Dante","Sede di Ministero della cultura","Roma"
"Il Bargello per Dante","Sede di Musei del Bargello","Firenze"
"Il ""mistero"" del Portus Lunae","Sede di Museo archeologico nazionale e zona archeologica di Luni","Ortonovo"
"Il Dantedì dei ragazzi","Sede di Biblioteca Universitaria di Pavia","Pavia"
"Il folle volo. Dante e il XXVI canto del Purgatorio","Sede di Direzione regionale Musei Lombardia","Milano"
"Il Dantedì al Buonarroti","Sede di Direzione Regionale Musei Campania","Caserta"
"Inclusa est flamma. Ravenna 1921: il Secentenario della morte di Dante","Sede di Direzione Regionale Musei Emilia Romagna","Ravenna"
"Ingresso gratuito al MArRC per la Giornata Regionale dei Musei in Calabria 2019, sabato 29 novembre","Sede di MArRC - Museo archeologico nazionale di Reggio Calabria","Reggio di Calabria"
"ISBN Dante e altre visioni. Mostra personale di Corrado Veneziano","Sede di Direzione Regionale Musei Toscana","Firenze"
"Il Tempio di san Faustino ","Sede di Museo archeologico nazionale dell'Umbria","Perugia"
"Iniziative digitali nell'anno di Dante","Sede di Archivio di Stato di Pordenone","Pordenone"
"Il Dantedì a Copenaghen","Sede di Direzione Regionale Musei Puglia","Canosa di Puglia"
"Il cielo con gli occhi di Dante al Planetario","Sede di Direzione regionale Musei Calabria","Reggio di Calabria"
"Il Museo e il Teatro incontrano Dante","Sede di Museo archeologico nazionale della Valle del Sarno","Sarno"
"Invito a cena","Sede di Villa Romana e Antiquarium","Desenzano del Garda"
"Io sono legno sanza vela e sanza governo","Sede di Soprintendenza Archivistica e Bibliografica della Lombardia","Milano"
"Il Dantedì dell'Archivio di Stato di Sondrio","Sede di Archivio di Stato di Sondrio","Sondrio"
"interpretazione Paradiso Canto XXXI","Sede di Palazzo Ducale di Tricarico","Tricarico"
"interpretazione Purgatorio, Canto XXVI.","Sede di Palazzo De Lieto - Pinacoteca Angelo Brando di Maratea","Maratea"
"interpretazione Vita Nova, Sonetto XXXVI, Color d'amore e di pietà sembianti.","Sede di Museo archeologico nazionale dell'Alta Val d'Agri - Grumento Nova","Grumento Nova"
"Interpretazione Vita Nova, Sonetto XXVI, Tanto gentile e tanto onesta pare","Sede di Museo archeologico nazionale della Siritide - Policoro","Policoro"
"Interpretazione Vita Nova, Sonetto XV, Cio' che m'incontra.","Sede di Museo archeologico nazionale di Metaponto","Bernalda"
"Inferno, Canto XXIII, Conte Ugolino.","Sede di Museo archeologico nazionale di Muro Lucano","Muro Lucano"
"Interpretazione Inferno, Canto V, MInosse","Sede di Museo archeologico nazionale del Melfese ""Massimo Pallottino""","Melfi"
"interpretazione Inferno, Canto V, Paolo e Francesca.","Sede di Museo archeologico nazionale ""Mario Torelli"", Parco archeologico e Catacombe ebraiche","Venosa"
"Interpretazione Inferno, Canto 1","Sede di Museo archeologico nazionale della Basilicata ""Dinu Adamesteanu""","Potenza"
"Intervallo ETRU_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"Intervallo ETRU_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"Io dico Io - I say I _ presentazione del catalogo","Sede di Galleria Nazionale d'Arte Moderna e Contemporanea","Roma"
"Io vado al Museo.. Nazionale di Villa Pisani","Sede di Museo nazionale di Villa Pisani","Stra"
"I tesori dell’archeologia subacquea I “Mercoledì del MArTA” ad aprile inaugurano con le relazioni  della Soprintendente Nazionale per il patrimonio culturale Subacqueo, Barbara Davidde","Sede di Museo archeologico nazionale di Taranto","Taranto"
"Intervallo ETRU_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"Io dico Io - Online series","Sede di Galleria Nazionale d'Arte Moderna e Contemporanea","Roma"
"In occasione della ricorrenza dei 160 anni dell’Unità d’Italia la Pinacoteca Metropolitana “Corrado Giaquinto” di Bari propone un video sul dipinto di Gioacchino Toma","Sede di Museo e Pinacoteca d'Arte Medievale e Moderna della Città Metropolitana di Bari ""Corrado Giaquinto""","Bari"
"In occasione della grande mostra ""Dante. La visione dell’arte"" lo scambio di due capolavori di Beato Angelico fra il Museo di San Marco a Firenze e la Pinacoteca dei Musei civici di Forlì","Sede di Museo di San Marco","Firenze"
"Il Centro per il libro e la lettura inaugura ""Il Maggio dei Libri 2021"": venerdì 23 aprile l'evento in streaming","Sede di Centro per il libro e la lettura","Roma"
"Il Museo Riapre","Sede di Gallerie dell'Accademia di Venezia","Venezia"
"Intesa tra MArTA e Politecnico  Oggi la firma del protocollo tra la direttrice Eva Degl’Innocenti e il Rettore Francesco Cupertino","Sede di Museo archeologico nazionale di Taranto","Taranto"
"Indovina chi? Storie di dame, dogi, cardinali, condottieri, uomini di potere tra i dipinti di Palazzo Spinola","Sede di Gallerie Nazionali di Palazzo Spinola","Genova"
"INFINITO NERO DI SALVATORE SCIARRINO ALL’ EX CHIESA DI SAN MATTIA","Sede di Ex Chiesa di San Mattia","Bologna"
